Date,Region,demand_MU
4/23/2013,Gujarat,247.3
4/23/2013,Maharashtra,371
4/23/2013,Tamil Nadu,233.4
4/23/2013,Uttar Pradesh,219.3
4/24/2013,Gujarat,261.2
4/24/2013,Maharashtra,370.2
4/24/2013,Tamil Nadu,231.6
4/24/2013,Uttar Pradesh,227.3
4/25/2013,Gujarat,262.8
4/25/2013,Maharashtra,367.9
4/25/2013,Tamil Nadu,232.9
4/25/2013,Uttar Pradesh,228
4/26/2013,Gujarat,266.2
4/26/2013,Maharashtra,349
4/26/2013,Tamil Nadu,232.8
4/26/2013,Uttar Pradesh,224.9
4/27/2013,Gujarat,269.4
4/27/2013,Maharashtra,362.8
4/27/2013,Tamil Nadu,231.7
4/27/2013,Uttar Pradesh,225.6
4/28/2013,Gujarat,258.1
4/28/2013,Maharashtra,362.8
4/28/2013,Tamil Nadu,241.9
4/28/2013,Uttar Pradesh,231.1
4/29/2013,Gujarat,270.8
4/29/2013,Maharashtra,377.5
4/29/2013,Tamil Nadu,238.3
4/29/2013,Uttar Pradesh,231.1
4/30/2013,Gujarat,273.9
4/30/2013,Maharashtra,378.2
4/30/2013,Tamil Nadu,233.4
4/30/2013,Uttar Pradesh,235.5
5/1/2013,Gujarat,266.4
5/1/2013,Maharashtra,342.9
5/1/2013,Tamil Nadu,220.2
5/1/2013,Uttar Pradesh,235.7
5/2/2013,Gujarat,270
5/2/2013,Maharashtra,362
5/2/2013,Tamil Nadu,225.8
5/2/2013,Uttar Pradesh,233.9
5/3/2013,Gujarat,270.1
5/3/2013,Maharashtra,367.5
5/3/2013,Tamil Nadu,249.6
5/3/2013,Uttar Pradesh,235.2
5/4/2013,Gujarat,271.9
5/4/2013,Maharashtra,367.4
5/4/2013,Tamil Nadu,238.5
5/4/2013,Uttar Pradesh,234.2
5/5/2013,Gujarat,256.6
5/5/2013,Maharashtra,361.5
5/5/2013,Tamil Nadu,223.8
5/5/2013,Uttar Pradesh,240.5
5/6/2013,Gujarat,268.8
5/6/2013,Maharashtra,371.3
5/6/2013,Tamil Nadu,221.9
5/6/2013,Uttar Pradesh,239.7
5/7/2013,Gujarat,270.8
5/7/2013,Maharashtra,375.9
5/7/2013,Tamil Nadu,228.2
5/7/2013,Uttar Pradesh,227.5
5/8/2013,Gujarat,268.1
5/8/2013,Maharashtra,374.1
5/8/2013,Tamil Nadu,254.5
5/8/2013,Uttar Pradesh,228.7
5/9/2013,Gujarat,271.3
5/9/2013,Maharashtra,375.2
5/9/2013,Tamil Nadu,259
5/9/2013,Uttar Pradesh,236.4
5/10/2013,Gujarat,268.1
5/10/2013,Maharashtra,369.5
5/10/2013,Tamil Nadu,259.4
5/10/2013,Uttar Pradesh,239.2
5/11/2013,Gujarat,265.7
5/11/2013,Maharashtra,368.7
5/11/2013,Tamil Nadu,258.6
5/11/2013,Uttar Pradesh,246.7
5/12/2013,Gujarat,254.4
5/12/2013,Maharashtra,357.6
5/12/2013,Tamil Nadu,257
5/12/2013,Uttar Pradesh,241.1
5/13/2013,Gujarat,261.7
5/13/2013,Maharashtra,369.3
5/13/2013,Tamil Nadu,250.7
5/13/2013,Uttar Pradesh,235.5
5/14/2013,Gujarat,267.6
5/14/2013,Maharashtra,369.6
5/14/2013,Tamil Nadu,267.3
5/14/2013,Uttar Pradesh,246.5
5/15/2013,Gujarat,266.4
5/15/2013,Maharashtra,365.5
5/15/2013,Tamil Nadu,265.9
5/15/2013,Uttar Pradesh,245.8
5/16/2013,Gujarat,267.3
5/16/2013,Maharashtra,367.2
5/16/2013,Tamil Nadu,263.9
5/16/2013,Uttar Pradesh,251.9
5/17/2013,Gujarat,266.2
5/17/2013,Maharashtra,364.8
5/17/2013,Tamil Nadu,233.5
5/17/2013,Uttar Pradesh,249.2
5/18/2013,Gujarat,265.1
5/18/2013,Maharashtra,366.4
5/18/2013,Tamil Nadu,232.9
5/18/2013,Uttar Pradesh,253
5/19/2013,Gujarat,253.7
5/19/2013,Maharashtra,360.4
5/19/2013,Tamil Nadu,239.6
5/19/2013,Uttar Pradesh,255.9
5/20/2013,Gujarat,261.1
5/20/2013,Maharashtra,366.2
5/20/2013,Tamil Nadu,238.9
5/20/2013,Uttar Pradesh,245.8
5/21/2013,Gujarat,262
5/21/2013,Maharashtra,377.3
5/21/2013,Tamil Nadu,252.8
5/21/2013,Uttar Pradesh,247.6
5/22/2013,Gujarat,259.4
5/22/2013,Maharashtra,381.2
5/22/2013,Tamil Nadu,262.9
5/22/2013,Uttar Pradesh,250.7
5/23/2013,Gujarat,263.8
5/23/2013,Maharashtra,374.2
5/23/2013,Tamil Nadu,260.4
5/23/2013,Uttar Pradesh,248.6
5/24/2013,Gujarat,265.3
5/24/2013,Maharashtra,368.3
5/24/2013,Tamil Nadu,264
5/24/2013,Uttar Pradesh,256.2
5/25/2013,Gujarat,262.4
5/25/2013,Maharashtra,372.1
5/25/2013,Tamil Nadu,255.1
5/25/2013,Uttar Pradesh,259.7
5/26/2013,Gujarat,254.8
5/26/2013,Maharashtra,361.8
5/26/2013,Tamil Nadu,241.4
5/26/2013,Uttar Pradesh,260.6
5/27/2013,Gujarat,261.1
5/27/2013,Maharashtra,375.6
5/27/2013,Tamil Nadu,246.7
5/27/2013,Uttar Pradesh,265
5/28/2013,Gujarat,261.5
5/28/2013,Maharashtra,374.9
5/28/2013,Tamil Nadu,250.8
5/28/2013,Uttar Pradesh,264.6
5/29/2013,Gujarat,259.5
5/29/2013,Maharashtra,370.2
5/29/2013,Tamil Nadu,246.2
5/29/2013,Uttar Pradesh,268.6
5/31/2013,Gujarat,265.8
5/31/2013,Maharashtra,367.2
5/31/2013,Tamil Nadu,230.8
5/31/2013,Uttar Pradesh,251.2
6/2/2013,Gujarat,246.8
6/2/2013,Maharashtra,337.2
6/2/2013,Tamil Nadu,224.7
6/2/2013,Uttar Pradesh,239.4
6/4/2013,Gujarat,251.4
6/4/2013,Maharashtra,333.5
6/4/2013,Tamil Nadu,238.6
6/4/2013,Uttar Pradesh,244.6
6/5/2013,Gujarat,250.3
6/5/2013,Maharashtra,344.3
6/5/2013,Tamil Nadu,246.4
6/5/2013,Uttar Pradesh,248
6/6/2013,Gujarat,256.8
6/6/2013,Maharashtra,339.8
6/6/2013,Tamil Nadu,245.1
6/6/2013,Uttar Pradesh,244.9
6/7/2013,Gujarat,242.2
6/7/2013,Maharashtra,323.1
6/7/2013,Tamil Nadu,242
6/7/2013,Uttar Pradesh,240
6/8/2013,Gujarat,244.3
6/8/2013,Maharashtra,327.9
6/8/2013,Tamil Nadu,246.1
6/8/2013,Uttar Pradesh,244
6/9/2013,Gujarat,240.5
6/9/2013,Maharashtra,304
6/9/2013,Tamil Nadu,237.7
6/9/2013,Uttar Pradesh,241.1
6/10/2013,Gujarat,230.5
6/10/2013,Maharashtra,313.6
6/10/2013,Tamil Nadu,238.3
6/10/2013,Uttar Pradesh,235.8
6/11/2013,Gujarat,224.3
6/11/2013,Maharashtra,325
6/11/2013,Tamil Nadu,247.4
6/11/2013,Uttar Pradesh,229.2
6/12/2013,Gujarat,226.1
6/12/2013,Maharashtra,269.3
6/12/2013,Tamil Nadu,243.3
6/12/2013,Uttar Pradesh,236.3
6/13/2013,Gujarat,227
6/13/2013,Maharashtra,272.9
6/13/2013,Tamil Nadu,241.7
6/13/2013,Uttar Pradesh,241.7
6/14/2013,Gujarat,226.6
6/14/2013,Maharashtra,304.8
6/14/2013,Tamil Nadu,251.3
6/14/2013,Uttar Pradesh,247.9
6/15/2013,Gujarat,218.3
6/15/2013,Maharashtra,298.3
6/15/2013,Tamil Nadu,248.2
6/15/2013,Uttar Pradesh,230.9
6/16/2013,Gujarat,205.5
6/16/2013,Maharashtra,282.9
6/16/2013,Tamil Nadu,244.2
6/16/2013,Uttar Pradesh,199.3
6/17/2013,Gujarat,192.4
6/17/2013,Maharashtra,298.5
6/17/2013,Tamil Nadu,251.7
6/17/2013,Uttar Pradesh,182.8
6/18/2013,Gujarat,199.1
6/18/2013,Maharashtra,305.4
6/18/2013,Tamil Nadu,257
6/18/2013,Uttar Pradesh,202.3
6/19/2013,Gujarat,204.7
6/19/2013,Maharashtra,313
6/19/2013,Tamil Nadu,258.3
6/19/2013,Uttar Pradesh,200.3
6/20/2013,Gujarat,211.4
6/20/2013,Maharashtra,318
6/20/2013,Tamil Nadu,263.2
6/20/2013,Uttar Pradesh,223.9
6/21/2013,Gujarat,219.1
6/21/2013,Maharashtra,316.3
6/21/2013,Tamil Nadu,266.5
6/21/2013,Uttar Pradesh,229.4
6/22/2013,Gujarat,226.5
6/22/2013,Maharashtra,319.7
6/22/2013,Tamil Nadu,265.4
6/22/2013,Uttar Pradesh,229.4
6/23/2013,Gujarat,213.5
6/23/2013,Maharashtra,310.5
6/23/2013,Tamil Nadu,249.4
6/23/2013,Uttar Pradesh,233.8
6/24/2013,Gujarat,227.9
6/24/2013,Maharashtra,317.5
6/24/2013,Tamil Nadu,256
6/24/2013,Uttar Pradesh,233.4
6/25/2013,Gujarat,232.7
6/25/2013,Maharashtra,302.4
6/25/2013,Tamil Nadu,254.2
6/25/2013,Uttar Pradesh,216.1
6/26/2013,Gujarat,222.2
6/26/2013,Maharashtra,303.9
6/26/2013,Tamil Nadu,262
6/26/2013,Uttar Pradesh,231.2
6/26/2013,Gujarat,222.2
6/26/2013,Maharashtra,303.9
6/26/2013,Tamil Nadu,262
6/26/2013,Uttar Pradesh,231.2
6/27/2013,Gujarat,223.6
6/27/2013,Maharashtra,308.3
6/27/2013,Tamil Nadu,263.3
6/27/2013,Uttar Pradesh,217.8
6/29/2013,Gujarat,227.5
6/29/2013,Maharashtra,308.9
6/29/2013,Tamil Nadu,258.4
6/29/2013,Uttar Pradesh,197
6/30/2013,Gujarat,219.9
6/30/2013,Maharashtra,306.1
6/30/2013,Tamil Nadu,246
6/30/2013,Uttar Pradesh,176.4
7/1/2013,Gujarat,233.2
7/1/2013,Maharashtra,320.5
7/1/2013,Tamil Nadu,256.4
7/1/2013,Uttar Pradesh,208.5
7/2/2013,Gujarat,236.9
7/2/2013,Maharashtra,327.1
7/2/2013,Tamil Nadu,255.7
7/2/2013,Uttar Pradesh,218.1
7/3/2013,Gujarat,233.8
7/3/2013,Maharashtra,318.1
7/3/2013,Tamil Nadu,260.1
7/3/2013,Uttar Pradesh,223.4
7/4/2013,Gujarat,199.6
7/4/2013,Maharashtra,311.5
7/4/2013,Tamil Nadu,259.8
7/4/2013,Uttar Pradesh,230.5
7/4/2013,Gujarat,199.6
7/4/2013,Maharashtra,311.5
7/4/2013,Tamil Nadu,262
7/4/2013,Uttar Pradesh,230.5
7/5/2013,Gujarat,194.8
7/5/2013,Maharashtra,313.3
7/5/2013,Tamil Nadu,261.8
7/5/2013,Uttar Pradesh,226.9
7/6/2013,Gujarat,200.4
7/6/2013,Maharashtra,317.5
7/6/2013,Tamil Nadu,258.2
7/6/2013,Uttar Pradesh,233.1
7/7/2013,Gujarat,193.4
7/7/2013,Maharashtra,308.3
7/7/2013,Tamil Nadu,237.4
7/7/2013,Uttar Pradesh,229.4
7/8/2013,Gujarat,205.4
7/8/2013,Maharashtra,322.3
7/8/2013,Tamil Nadu,245.9
7/8/2013,Uttar Pradesh,228.2
7/9/2013,Gujarat,206.9
7/9/2013,Maharashtra,319.5
7/9/2013,Tamil Nadu,253.3
7/9/2013,Uttar Pradesh,237.5
7/10/2013,Gujarat,200.2
7/10/2013,Maharashtra,315.9
7/10/2013,Tamil Nadu,249.2
7/10/2013,Uttar Pradesh,232.6
7/11/2013,Gujarat,202.2
7/11/2013,Maharashtra,311.4
7/11/2013,Tamil Nadu,245
7/11/2013,Uttar Pradesh,230.7
7/12/2013,Gujarat,196.9
7/12/2013,Maharashtra,297.2
7/12/2013,Tamil Nadu,251.5
7/12/2013,Uttar Pradesh,240.5
7/13/2013,Gujarat,186.8
7/13/2013,Maharashtra,297.1
7/13/2013,Tamil Nadu,254.6
7/13/2013,Uttar Pradesh,245.2
7/14/2013,Gujarat,181.4
7/14/2013,Maharashtra,292.3
7/14/2013,Tamil Nadu,244
7/14/2013,Uttar Pradesh,239
7/15/2013,Gujarat,195.1
7/15/2013,Maharashtra,304.7
7/15/2013,Tamil Nadu,250.4
7/15/2013,Uttar Pradesh,242.5
7/16/2013,Gujarat,198.1
7/16/2013,Maharashtra,305.5
7/16/2013,Tamil Nadu,249.2
7/16/2013,Uttar Pradesh,246.6
7/17/2013,Gujarat,197.8
7/17/2013,Maharashtra,307.2
7/17/2013,Tamil Nadu,251.6
7/17/2013,Uttar Pradesh,248.8
7/18/2013,Gujarat,202.1
7/18/2013,Maharashtra,300.6
7/18/2013,Tamil Nadu,251.6
7/18/2013,Uttar Pradesh,253.7
7/19/2013,Gujarat,204.8
7/19/2013,Maharashtra,294
7/19/2013,Tamil Nadu,245.1
7/19/2013,Uttar Pradesh,246.6
7/20/2013,Gujarat,207.6
7/20/2013,Maharashtra,289.3
7/20/2013,Tamil Nadu,238.8
7/20/2013,Uttar Pradesh,236.1
7/21/2013,Gujarat,200.1
7/21/2013,Maharashtra,282.3
7/21/2013,Tamil Nadu,228.5
7/21/2013,Uttar Pradesh,236.3
7/22/2013,Gujarat,205.7
7/22/2013,Maharashtra,298
7/22/2013,Tamil Nadu,243
7/22/2013,Uttar Pradesh,241.6
7/23/2013,Gujarat,199.5
7/23/2013,Maharashtra,295.6
7/23/2013,Tamil Nadu,246.8
7/23/2013,Uttar Pradesh,245
7/24/2013,Gujarat,196.2
7/24/2013,Maharashtra,291.4
7/24/2013,Tamil Nadu,247.9
7/24/2013,Uttar Pradesh,243.1
7/25/2013,Gujarat,196.9
7/25/2013,Maharashtra,292.7
7/25/2013,Tamil Nadu,242.3
7/25/2013,Uttar Pradesh,242.1
7/26/2013,Gujarat,196.8
7/26/2013,Maharashtra,290.2
7/26/2013,Tamil Nadu,253
7/26/2013,Uttar Pradesh,240.9
7/28/2013,Gujarat,188.2
7/28/2013,Maharashtra,282.3
7/28/2013,Tamil Nadu,246.1
7/28/2013,Uttar Pradesh,242.5
7/29/2013,Gujarat,186.8
7/29/2013,Maharashtra,297.7
7/29/2013,Tamil Nadu,254.8
7/29/2013,Uttar Pradesh,247.9
7/30/2013,Gujarat,188.6
7/30/2013,Maharashtra,302.3
7/30/2013,Tamil Nadu,261.6
7/30/2013,Uttar Pradesh,246
7/31/2013,Gujarat,190.9
7/31/2013,Maharashtra,295.5
7/31/2013,Tamil Nadu,258.5
7/31/2013,Uttar Pradesh,250.9
8/1/2013,Gujarat,192
8/1/2013,Maharashtra,284.7
8/1/2013,Tamil Nadu,257.4
8/1/2013,Uttar Pradesh,246.5
8/2/2013,Gujarat,188.3
8/2/2013,Maharashtra,277.6
8/2/2013,Tamil Nadu,260.1
8/2/2013,Uttar Pradesh,252.9
8/3/2013,Gujarat,185.4
8/3/2013,Maharashtra,290.3
8/3/2013,Tamil Nadu,252.9
8/3/2013,Uttar Pradesh,256.7
8/4/2013,Gujarat,181.4
8/4/2013,Maharashtra,286.2
8/4/2013,Tamil Nadu,238.4
8/4/2013,Uttar Pradesh,259.1
8/5/2013,Gujarat,192.6
8/5/2013,Maharashtra,307.5
8/5/2013,Tamil Nadu,239
8/5/2013,Uttar Pradesh,255.1
8/6/2013,Gujarat,198
8/6/2013,Maharashtra,316.1
8/6/2013,Tamil Nadu,245.6
8/6/2013,Uttar Pradesh,250.5
8/7/2013,Gujarat,199.5
8/7/2013,Maharashtra,318.2
8/7/2013,Tamil Nadu,245.3
8/7/2013,Uttar Pradesh,247.9
8/8/2013,Gujarat,205.2
8/8/2013,Maharashtra,317.3
8/8/2013,Tamil Nadu,253.5
8/8/2013,Uttar Pradesh,237.2
8/9/2013,Gujarat,201.6
8/9/2013,Maharashtra,304.3
8/9/2013,Tamil Nadu,246
8/9/2013,Uttar Pradesh,243.7
8/10/2013,Gujarat,196
8/10/2013,Maharashtra,302.8
8/10/2013,Tamil Nadu,236
8/10/2013,Uttar Pradesh,234.6
8/11/2013,Gujarat,188.6
8/11/2013,Maharashtra,298.4
8/11/2013,Tamil Nadu,221.3
8/11/2013,Uttar Pradesh,229.3
8/12/2013,Gujarat,197.4
8/12/2013,Maharashtra,316.3
8/12/2013,Tamil Nadu,229.6
8/12/2013,Uttar Pradesh,236.1
8/14/2013,Gujarat,198.8
8/14/2013,Maharashtra,310.5
8/14/2013,Tamil Nadu,233.7
8/14/2013,Uttar Pradesh,237.8
8/15/2013,Gujarat,178.7
8/15/2013,Maharashtra,283.4
8/15/2013,Tamil Nadu,215
8/15/2013,Uttar Pradesh,231.8
8/16/2013,Gujarat,192.1
8/16/2013,Maharashtra,301.4
8/16/2013,Tamil Nadu,228.4
8/16/2013,Uttar Pradesh,229.2
8/17/2013,Gujarat,200.3
8/17/2013,Maharashtra,317.2
8/17/2013,Tamil Nadu,225.3
8/17/2013,Uttar Pradesh,225.2
8/18/2013,Gujarat,197.7
8/18/2013,Maharashtra,305.5
8/18/2013,Tamil Nadu,219.7
8/18/2013,Uttar Pradesh,226.9
8/19/2013,Gujarat,203.6
8/19/2013,Maharashtra,318.1
8/19/2013,Tamil Nadu,242.4
8/19/2013,Uttar Pradesh,227
8/20/2013,Gujarat,178.1
8/20/2013,Maharashtra,313.7
8/20/2013,Tamil Nadu,243.5
8/20/2013,Uttar Pradesh,225.6
8/21/2013,Gujarat,199.3
8/21/2013,Maharashtra,318.5
8/21/2013,Tamil Nadu,246.5
8/21/2013,Uttar Pradesh,224.2
8/22/2013,Gujarat,216.3
8/22/2013,Maharashtra,320.2
8/22/2013,Tamil Nadu,250.7
8/22/2013,Uttar Pradesh,225.6
8/23/2013,Gujarat,225
8/23/2013,Maharashtra,314.8
8/23/2013,Tamil Nadu,254
8/23/2013,Uttar Pradesh,227
8/24/2013,Gujarat,222.8
8/24/2013,Maharashtra,311.8
8/24/2013,Tamil Nadu,253.6
8/24/2013,Uttar Pradesh,227.1
8/25/2013,Gujarat,218.1
8/25/2013,Maharashtra,302.6
8/25/2013,Tamil Nadu,251.5
8/25/2013,Uttar Pradesh,229.2
8/26/2013,Gujarat,231.3
8/26/2013,Maharashtra,313.3
8/26/2013,Tamil Nadu,250.6
8/26/2013,Uttar Pradesh,237.2
8/27/2013,Gujarat,230
8/27/2013,Maharashtra,324.1
8/27/2013,Tamil Nadu,245.3
8/27/2013,Uttar Pradesh,236.4
8/30/2013,Gujarat,241.4
8/30/2013,Maharashtra,333.1
8/30/2013,Tamil Nadu,223.7
8/30/2013,Uttar Pradesh,215.2
8/31/2013,Gujarat,247.9
8/31/2013,Maharashtra,340.2
8/31/2013,Tamil Nadu,226.3
8/31/2013,Uttar Pradesh,212.9
9/1/2013,Gujarat,246.8
9/1/2013,Maharashtra,335.5
9/1/2013,Tamil Nadu,227.6
9/1/2013,Uttar Pradesh,205.1
9/2/2013,Gujarat,258.9
9/2/2013,Maharashtra,352
9/2/2013,Tamil Nadu,231.1
9/2/2013,Uttar Pradesh,217.1
9/3/2013,Gujarat,264.7
9/3/2013,Maharashtra,358.9
9/3/2013,Tamil Nadu,241.9
9/3/2013,Uttar Pradesh,219.5
9/4/2013,Gujarat,267.4
9/4/2013,Maharashtra,361.9
9/4/2013,Tamil Nadu,240.7
9/4/2013,Uttar Pradesh,221.2
9/5/2013,Gujarat,267.1
9/5/2013,Maharashtra,361.2
9/5/2013,Tamil Nadu,254.9
9/5/2013,Uttar Pradesh,227.6
9/6/2013,Gujarat,269.6
9/6/2013,Maharashtra,353.5
9/6/2013,Tamil Nadu,248.6
9/6/2013,Uttar Pradesh,233.9
9/7/2013,Gujarat,266.1
9/7/2013,Maharashtra,362
9/7/2013,Tamil Nadu,233.5
9/7/2013,Uttar Pradesh,243.8
9/8/2013,Gujarat,261.9
9/8/2013,Maharashtra,354.8
9/8/2013,Tamil Nadu,220.3
9/8/2013,Uttar Pradesh,226.2
9/9/2013,Gujarat,268.6
9/9/2013,Maharashtra,332.1
9/9/2013,Tamil Nadu,217.8
9/9/2013,Uttar Pradesh,231
9/10/2013,Gujarat,277.3
9/10/2013,Maharashtra,344.9
9/10/2013,Tamil Nadu,230.2
9/10/2013,Uttar Pradesh,226.1
9/11/2013,Gujarat,272.1
9/11/2013,Maharashtra,346.1
9/11/2013,Tamil Nadu,228.6
9/11/2013,Uttar Pradesh,232.4
9/12/2013,Gujarat,259.1
9/12/2013,Maharashtra,348.7
9/12/2013,Tamil Nadu,228.6
9/12/2013,Uttar Pradesh,238.1
9/13/2013,Gujarat,260.9
9/13/2013,Maharashtra,343
9/13/2013,Tamil Nadu,231
9/13/2013,Uttar Pradesh,239.3
9/15/2013,Gujarat,255.7
9/15/2013,Maharashtra,324.1
9/15/2013,Tamil Nadu,222.8
9/15/2013,Uttar Pradesh,235.9
9/16/2013,Gujarat,268.4
9/16/2013,Maharashtra,322.6
9/16/2013,Tamil Nadu,237.5
9/16/2013,Uttar Pradesh,237.4
9/17/2013,Gujarat,269.2
9/17/2013,Maharashtra,321.6
9/17/2013,Tamil Nadu,240.5
9/17/2013,Uttar Pradesh,242.2
9/18/2013,Gujarat,256.3
9/18/2013,Maharashtra,303.9
9/18/2013,Tamil Nadu,243.4
9/18/2013,Uttar Pradesh,245.9
9/19/2013,Gujarat,277.2
9/19/2013,Maharashtra,303.8
9/19/2013,Tamil Nadu,248
9/19/2013,Uttar Pradesh,242.4
9/21/2013,Gujarat,280.4
9/21/2013,Maharashtra,299.7
9/21/2013,Tamil Nadu,247
9/21/2013,Uttar Pradesh,229.1
9/22/2013,Gujarat,241.6
9/22/2013,Maharashtra,291
9/22/2013,Tamil Nadu,244.6
9/22/2013,Uttar Pradesh,232.5
9/24/2013,Gujarat,200.7
9/24/2013,Maharashtra,317.5
9/24/2013,Tamil Nadu,263.4
9/24/2013,Uttar Pradesh,247.7
9/25/2013,Gujarat,173.1
9/25/2013,Maharashtra,319.4
9/25/2013,Tamil Nadu,261.7
9/25/2013,Uttar Pradesh,244
9/26/2013,Gujarat,167.2
9/26/2013,Maharashtra,322.6
9/26/2013,Tamil Nadu,263.6
9/26/2013,Uttar Pradesh,239.9
9/27/2013,Gujarat,178.8
9/27/2013,Maharashtra,319.9
9/27/2013,Tamil Nadu,265.2
9/27/2013,Uttar Pradesh,232.5
9/28/2013,Gujarat,184.6
9/28/2013,Maharashtra,323.9
9/28/2013,Tamil Nadu,267.8
9/28/2013,Uttar Pradesh,245.2
9/29/2013,Gujarat,187.8
9/29/2013,Maharashtra,317
9/29/2013,Tamil Nadu,255.5
9/29/2013,Uttar Pradesh,235.5
9/30/2013,Gujarat,201.2
9/30/2013,Maharashtra,331.8
9/30/2013,Tamil Nadu,264.8
9/30/2013,Uttar Pradesh,235.3
10/1/2013,Gujarat,201.4
10/1/2013,Maharashtra,336.6
10/1/2013,Tamil Nadu,270
10/1/2013,Uttar Pradesh,227.8
10/2/2013,Gujarat,199.6
10/2/2013,Maharashtra,333.6
10/2/2013,Tamil Nadu,252.1
10/2/2013,Uttar Pradesh,224.8
10/3/2013,Gujarat,209.9
10/3/2013,Maharashtra,334.9
10/3/2013,Tamil Nadu,258.3
10/3/2013,Uttar Pradesh,217.6
10/4/2013,Gujarat,210.4
10/4/2013,Maharashtra,325
10/4/2013,Tamil Nadu,262.2
